"","1","2","3","4","5","6","7","8","9"
"5980",0.016,0.003,0.003,0.001,0.024,0.002,0.028,0.42,0.503
"6003",0.016,0.003,0.003,0.001,0.024,0.002,0.028,0.42,0.503
"6011",0.016,0.003,0.003,0.001,0.024,0.002,0.028,0.42,0.503
"6024",0.016,0.003,0.003,0.001,0.024,0.002,0.028,0.42,0.503
"6034",0.016,0.003,0.003,0.001,0.024,0.002,0.028,0.42,0.503
"6049",0.003,0.003,0.005,0.001,0.068,0.002,0.028,0.342,0.548
"6081",0.003,0.003,0.005,0.001,0.068,0.002,0.028,0.342,0.548
"6093",0.003,0.003,0.005,0.001,0.068,0.002,0.028,0.342,0.548
"6104",0.003,0.003,0.005,0.001,0.068,0.002,0.028,0.342,0.548
"6120",0.003,0.003,0.005,0.001,0.068,0.002,0.028,0.342,0.548
"6140",0.05,0.013,0.059,0.032,0.133,0.008,0.083,0.19,0.432
"6168",0.05,0.013,0.059,0.032,0.133,0.008,0.083,0.19,0.432
"6215",0.05,0.013,0.059,0.032,0.133,0.008,0.083,0.19,0.432
"6262",0.05,0.013,0.059,0.032,0.133,0.008,0.083,0.19,0.432
"6312",0.05,0.013,0.059,0.032,0.133,0.008,0.083,0.19,0.432
"6358",0.05,0.013,0.059,0.032,0.133,0.008,0.083,0.19,0.432
"6393",0.05,0.013,0.059,0.032,0.133,0.008,0.083,0.19,0.432
"6426",0.05,0.013,0.059,0.032,0.133,0.008,0.083,0.19,0.432
"6450",0.05,0.013,0.059,0.032,0.133,0.008,0.083,0.19,0.432
"6495",0.05,0.013,0.059,0.032,0.133,0.008,0.083,0.19,0.432
"6531",0.05,0.013,0.059,0.032,0.133,0.008,0.083,0.19,0.432
"6558",0.055,0.012,0.056,0.029,0.145,0.008,0.079,0.211,0.405
"6582",0.055,0.012,0.056,0.029,0.145,0.008,0.079,0.211,0.405
"6605",0.055,0.012,0.056,0.029,0.145,0.008,0.079,0.211,0.405
"6635",0.055,0.012,0.056,0.029,0.145,0.008,0.079,0.211,0.405
"6668",0.055,0.012,0.056,0.029,0.145,0.008,0.079,0.211,0.405
"6696",0.055,0.012,0.056,0.029,0.145,0.008,0.079,0.211,0.405
"6729",0,0.006,0.021,0.003,0.14,0.006,0.123,0.208,0.493
"6767",0,0.006,0.021,0.003,0.14,0.006,0.123,0.208,0.493
"6807",0,0.006,0.021,0.003,0.14,0.006,0.123,0.208,0.493
"6846",0,0.006,0.021,0.003,0.14,0.006,0.123,0.208,0.493
"6887",0,0.005,0.008,0,0.152,0.002,0.031,0.242,0.56
"6921",0,0.005,0.008,0,0.152,0.002,0.031,0.242,0.56
"6956",0.013,0.003,0.005,0.001,0.032,0.001,0.016,0.39,0.539
"6997",0.013,0.003,0.005,0.001,0.032,0.001,0.016,0.39,0.539
